RxnName	Kstep1	Kstep2	Kprimestep4	Kprimestep5	Kprimestep6	Kbind
R1	42.36334308	0.094834729	2.06545E-07	5.566130013	173.5125284	0
R2	173.5125284	0.017665961	5.00827E-08	3.212040962	173.5125284	0
R3	94.80776017	0.070149895	7.77752E-07	5.724618883	173.5125284	0
R4	173.5125284	0.065075527	1.21381E-07	11.73484554	173.5125284	0
R5	42.36334308	0.196274721	2.23147E-06	9.574559518	94.80776017	0
R6	173.5125284	0.094833169	4.90015E-08	34.28420724	94.80776017	0
R7	94.80776017	0.493794141	1.35873E-06	27.47467567	94.80776017	0
R8	173.5125284	0.170324211	3.00655E-07	37.75150278	94.80776017	0
R9	47.30648993	0.443962417	1.0983E-06	4.615258544	173.5125284	1885.392216
R10	47.30648993	2.431976367	2.49954E-06	7.668517049	94.80776017	0
